date,price,long,model,actions
2018-08-21,1201.619995,1096676.5227055138,1121085.6496954786,8
2018-08-22,1207.329956,1091092.1913180265,1115377.0258195784,8
2018-08-23,1205.380005,1096276.936816399,1120677.1700783512,8
2018-08-24,1220.650024,1094506.3468475188,1118867.1714465676,8
2018-08-27,1241.819946,1108371.7939618356,1133041.2268445292,8
2018-08-28,1231.150024,1127594.4572673107,1152691.7359367923,8
2018-08-29,1249.300049,1117905.9795250837,1142787.6182326865,8
2018-08-30,1239.119995,1134386.5229848542,1159634.9751236234,8
2018-08-31,1218.189941,1125142.8540439128,1150185.5664915687,8
2018-09-04,1197.0,1106137.9951215505,1130757.7095335433,8
2018-09-05,1186.47998,1086897.1542102857,1111088.618249928,8
2018-09-06,1171.439941,1077344.7901332304,1101323.6437421907,8
2018-09-07,1164.829956,1063688.1689232793,1087363.0621624622,8
2018-09-10,1164.640015,1057686.1857270612,1081227.4906500957,8
2018-09-11,1177.359985,1057513.7159422927,1081051.1821427948,8
2018-09-12,1162.819946,1069063.6734983833,1092858.2112919015,8
2018-09-13,1175.329956,1055861.0611247772,1079361.7435877996,8
2018-09-14,1172.530029,1067220.3712903094,1090973.882038253,8
2018-09-17,1156.050049,1064677.9880920667,1088374.9120953702,8
2018-09-18,1161.219971,1049713.875006484,1073077.7373192746,8
2018-09-19,1171.089966,1054408.2555489144,1077876.6023914884,8
2018-09-20,1186.869995,1063370.3854382792,1087038.2056552174,8
2018-09-21,1166.089966,1077698.9306458447,1101685.6664885958,8
2018-09-24,1173.369995,1058830.2970748278,1082397.066898952,4
2018-09-25,1184.650024,1065440.6920645258,1089154.591846679,8
2018-09-26,1180.48999,1075683.1577449848,1099625.0277994187,8
2018-09-27,1194.640015,1071905.7733539923,1095763.5687944624,8
2018-09-28,1193.469971,1084754.2461230017,1108898.014680387,8
2018-10-01,1195.310059,1083691.8254931765,1107811.9473694,8
2018-10-02,1200.109985,1085362.6579164818,1109519.9681157477,8
2018-10-03,1202.949951,1089721.0755520875,1113975.392632909,8
2018-10-04,1168.189941,1092299.8148699272,1116611.527886724,8
2018-10-05,1157.349976,1060737.1114870356,1084346.3219708898,8
2018-10-08,1148.969971,1050894.2316956914,1074284.3656352777,8
2018-10-09,1138.819946,1043285.0390584583,1066505.8124386382,8
2018-10-10,1081.219971,1034068.63698021,1057084.2775577258,8
2018-10-11,1079.319946,981766.8417336906,1003618.3822912425,8
2018-10-12,1110.079956,980041.5854551373,1001854.726358168,8
2018-10-15,1092.25,1007972.2181472676,1030407.0212689899,8
2018-10-16,1121.280029,991782.3029959771,1013856.7613061686,8
2018-10-17,1115.689941,1018142.082366689,1040803.2398436501,8
2018-10-18,1087.969971,1013066.183670795,1035614.3650301035,8
2018-10-19,1096.459961,987895.9610243501,1009883.9196122007,8
2018-10-22,1101.160034,995605.0219853141,1017764.5639380618,8
2018-10-23,1103.689941,999872.7713322486,1022127.302129577,8
2018-10-24,1050.709961,1002169.9715985116,1024475.6320150666,8
2018-10-25,1095.569946,954063.213459733,975298.1443182337,8
2018-10-26,1071.469971,994796.8726363546,1016938.4273160304,8
2018-10-29,1020.080017,972913.6694249603,994568.161716525,8
2018-10-30,1036.209961,926250.6829942188,946866.5802781062,8
2018-10-31,1076.77002,940896.9572057236,961838.8419250642,8
2018-11-01,1070.0,977726.2075830847,999487.814281326,8
2018-11-02,1057.790039,971578.909778618,993203.6938407877,8
2018-11-05,1040.089966,960492.0494077588,981870.0691988701,8
2018-11-06,1055.810059,944420.0703158503,965440.3702410648,8
2018-11-07,1093.390015,958694.1925761853,980032.1968159439,8
2018-11-08,1082.400024,992817.4567631091,1014914.9548660134,8
2018-11-09,1066.150024,982838.3507124019,1004713.740233792,8
2018-11-12,1038.630005,968083.0635311846,989630.0392759296,8
2018-11-13,1036.050049,943094.3999264118,964085.1939251176,8
2018-11-14,1043.660034,940751.7542836483,961690.4071689057,8
2018-11-15,1064.709961,947661.7551525565,968754.2064325254,8
2018-11-16,1061.48999,966775.4608773971,988293.3328357767,8
2018-11-19,1020.0,963851.670303847,985304.4663953467,8
2018-11-20,1025.76001,926178.0261441031,946792.3062781341,8
2018-11-21,1037.609985,931408.217018976,952138.9074076293,8
2018-11-23,1023.8800050000001,942168.2037399142,963138.3830542846,8
2018-11-26,1048.619995,929701.13925423,950393.8345941349,8
2018-11-27,1044.410034,952165.4873964111,973358.1798778584,8
2018-11-28,1086.22998,948342.7684070742,969450.3772459652,8
2018-11-29,1088.300049,986316.0184460281,1008268.8116790702,8
2018-11-30,1094.430054,988195.6776817164,1010190.3071718788,8
2018-12-03,1106.430054,993761.8305553963,1015880.3479281989,8
2018-12-04,1050.819946,1004658.0426276798,1027019.0809432358,8
2018-12-06,1068.72998,954163.0817834638,975400.2354474553,8
2018-12-07,1036.579956,970425.7091739479,992024.8260321415,8
2018-12-10,1039.550049,941232.9192045308,962182.2815518891,8
2018-12-11,1051.75,943929.8161380644,964939.2042982915,8
2018-12-12,1063.680054,955007.5872520201,976263.5373804192,8
2018-12-13,1061.900024,965840.2871201696,987337.3445771668,8
2018-12-14,1042.099976,964223.9884222508,985685.0713331039,8
2018-12-17,1016.5300289999999,946245.1949181346,967306.1173033611,8
2018-12-18,1028.709961,923027.2311523802,943571.3828998907,8
2018-12-19,1023.01001,934086.8246605464,954877.1337906661,8
2018-12-20,1009.409973,928911.1684190776,949586.2810916834,8
2018-12-21,979.5399779999999,916562.0944738358,936962.3493302149,8
2018-12-24,976.2199710000001,889439.6111306648,909236.1910414242,8
2018-12-26,1039.459961,886424.9861012095,906154.4684096699,8
2018-12-27,1043.880005,943848.0146419671,964855.5821166367,8
2018-12-28,1037.079956,947861.4927080359,968958.3896191963,8
2018-12-31,1035.609985,941686.9280408758,962646.3954275156,8
2019-01-02,1045.849976,940352.1683945337,961281.9275517784,8
2019-01-03,1016.0599980000001,949650.2611907232,970786.97137056,8
2019-01-04,1070.709961,922600.4346976681,943135.0870817417,8
2019-01-07,1068.390015,972223.566913539,993862.6993432952,8
2019-01-08,1076.280029,970117.0149458516,991709.2610846866,8
2019-01-09,1074.660034,977281.2870956257,999032.9910372619,8
2019-01-10,1070.329956,975810.3030059556,997529.2667213706,8
2019-01-11,1057.189941,971878.5156578283,993509.9681566803,8
2019-01-14,1044.689941,959947.1498184127,981313.0415817987,8
2019-01-15,1077.150024,948596.928909784,969710.1946911353,8
2019-01-16,1080.969971,978071.2579307779,999840.5445397133,8
2019-01-17,1089.900024,981539.8373155181,1003386.3253534292,8
2019-01-18,1098.26001,989648.4832575792,1011675.44836819,8
2019-01-22,1070.52002,997239.4982890225,1019435.4193734771,8
2019-01-23,1075.569946,972051.0971287703,993686.3908359944,8
2019-01-24,1073.900024,976636.5191825487,998373.8722909689,8
2019-01-25,1090.98999,975120.2004945343,996823.8043481408,8
2019-01-28,1070.079956,990638.1916482106,1012687.1850573124,8
2019-01-29,1060.619995,971651.5112396557,993277.911218867,8
2019-01-30,1089.060059,963061.6994686947,984496.9128928953,8
2019-01-31,1116.369995,988885.7801931377,1010895.7695451087,8
2019-02-01,1110.75,1013683.6847211787,1036245.6100252541,8
2019-02-04,1132.800049,1008580.6299407476,1031028.9747043505,8
2019-02-05,1145.98999,1028602.4641164346,1051496.4421026406,8
2019-02-06,1115.22998,1040579.163646177,1063739.7113762314,8
2019-02-07,1098.709961,1012648.5309540468,1035187.4164654093,8
2019-02-08,1095.060059,997648.0617488673,1019853.0763783812,8
2019-02-11,1095.01001,994333.8862292795,1016465.136052627,8
2019-02-12,1121.369995,994288.4408527791,1016418.6791819046,8
2019-02-13,1120.160034,1018223.7730846303,1040886.7487815194,8
2019-02-14,1121.670044,1017125.1071133642,1039763.6294033855,8
2019-02-15,1113.650024,1018496.2228793033,1041165.2625900551,8
2019-02-19,1118.560059,1011213.9029839736,1033720.8574604505,8
2019-02-20,1113.800049,1015672.3015375015,1038278.4882070742,8
2019-02-21,1096.969971,1011350.128335319,1033860.1148288321,8
2019-02-22,1110.369995,996068.1200785629,1018237.9693734783,8
2019-02-25,1109.400024,1008235.578685037,1030676.2435177356,8
2019-02-26,1115.130005,1007354.8278750399,1029775.889517625,8
2019-02-27,1116.050049,1012557.7518872195,1035094.6168959778,8
2019-02-28,1119.920044,1013393.1680988722,1035948.6272691515,8
2019-03-01,1140.98999,1016907.1919520953,1039540.8640253622,8
2019-03-04,1147.800049,1036039.0752827255,1059098.572619966,8
2019-03-05,1162.030029,1042222.729206789,1065419.8583714366,8
2019-03-06,1157.859985,1055143.8025288186,1078628.5207072129,8
2019-03-07,1143.300049,1051357.3288809224,1074757.7701424665,8
2019-03-08,1142.319946,1038136.6496796827,1061242.8334907978,8
2019-03-11,1175.76001,1037246.698834626,1060333.0746871114,8
2019-03-12,1193.199951,1067610.8679225205,1091373.0700955903,8
2019-03-13,1193.319946,1083446.6425611968,1107561.3073120066,8
2019-03-14,1185.550049,1083555.6001418312,1107672.690001018,8
2019-03-15,1184.459961,1076500.3963508478,1100460.4559812401,8
2019-03-18,1184.26001,1075510.5771820603,1099448.6060483323,8
2019-03-19,1198.849976,1075329.0181403882,1099263.0059812414,8
2019-03-20,1223.969971,1088576.9651123385,1112805.8173122802,8
2019-03-21,1231.540039,1111386.3645102305,1136122.8937826187,8
2019-03-22,1205.5,1118260.120037698,1143149.6409790914,8
2019-03-25,1193.0,1094615.3044281532,1118978.5541355792,8
2019-03-26,1184.619995,1083265.0835195247,1107375.7072449157,8
2019-03-27,1173.02002,1075655.8908822916,1099597.1540482764,8
2019-03-28,1168.48999,1065122.9085795258,1088829.7353394344,8
2019-03-29,1173.310059,1061009.5612817088,1084624.8357794255,8
2019-04-01,1194.430054,1065386.2691172953,1089098.95758818,8
